episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
782,1.0,2.8180123077105534,-6.4368402143272645,17.844992688963615,-6.666666666666668,1.3333333333333333,3,0.0,False,True,0.2896981668059809,16,48.06927451701628,3889.618,prepare,0.0
782,2.0,2.8177985394273053,-6.4368501341449695,17.857147808584987,6.666666666666668,2.6666666666666665,16,2.219430015247261,False,True,0.2892875376644663,16,48.06927451701628,3889.698,in_progress,0.0
782,3.0,2.8266058878420353,-6.437217154494192,17.02870084739397,0.0,2.6666666666666665,10,2.211924892725374,False,True,0.30551392097376007,16,48.06927451701628,3889.765,in_progress,0.0
782,4.0,2.846218486122465,-6.431227061752889,16.962106099625554,0.0,2.6666666666666665,10,2.206845345934365,False,True,0.34771779138332987,16,48.06927451701628,3889.823,in_progress,0.0
782,5.0,2.878197982838653,-6.420012663034385,17.257960303589613,10.0,2.6666666666666665,19,2.2010358516465196,False,True,0.4178241735448257,17,48.06927451701628,3889.902,in_progress,0.0
782,6.0,2.921969632494302,-6.3986804263733905,18.926155507770343,10.0,1.3333333333333333,18,1.3230931598762412,False,True,0.519116439110448,17,48.06927451701628,3889.964,in_progress,0.0
782,7.0,2.9746417160981116,-6.365945288457799,22.126033134238707,6.666666666666668,2.6666666666666665,16,2.218201559861816,False,True,0.6473054272532391,17,48.06927451701628,3890.031,in_progress,0.0
782,8.0,3.030889489890197,-6.3312807035521645,24.561460104892376,6.666666666666668,2.6666666666666665,16,2.2292808193544515,False,True,0.7802157233626581,17,48.06927451701628,3890.099,in_progress,0.0
782,9.0,3.1031654316064072,-6.2804656113073065,28.103564145187313,6.666666666666668,2.6666666666666665,16,2.246689860388777,False,True,0.9639065663904336,17,48.06927451701628,3890.16,in_progress,0.0
782,10.0,3.177361093596102,-6.222540236123162,31.645458209781772,3.333333333333332,2.6666666666666665,13,2.2740094966675115,False,True,1.1590264946122184,18,48.06927451701628,3890.229,in_progress,0.0
782,11.0,3.2699419233547147,-6.146038687471573,35.078439550942015,6.666666666666668,1.3333333333333333,15,1.4311730541656402,False,True,1.4087242568854075,18,48.06927451701628,3890.286,in_progress,0.0
782,12.0,3.351709708729654,-6.064173000506265,39.52569481336631,-6.666666666666668,2.6666666666666665,4,2.353954690590299,False,True,1.6484074559890358,19,48.06927451701628,3890.367,in_progress,0.0
782,13.0,3.4342195221675347,-5.980446805864251,41.987496859495906,0.0,2.6666666666666665,10,2.39860952037739,False,True,1.8917523011492563,19,48.06927451701628,3890.436,in_progress,0.0
782,14.0,3.521023375874836,-5.902414565842186,41.98548891759461,6.666666666666668,1.3333333333333333,15,1.538675619660619,False,True,2.1377784036373373,19,48.06927451701628,3890.502,in_progress,0.0
782,15.0,3.613117484998025,-5.809902135653756,43.41948350902,-6.666666666666668,1.3333333333333333,3,1.5667542168250648,False,True,2.4091706756868407,20,48.06927451701628,3890.569,in_progress,0.0
782,16.0,3.6992136698112903,-5.726721698592637,43.67041620793805,10.0,2.6666666666666665,19,2.4646578225980917,False,True,2.6609838911743595,20,48.06927451701628,3890.632,in_progress,0.0
782,17.0,3.7853128816707167,-5.647346339140702,43.22211857362788,10.0,2.6666666666666665,19,2.462263947228496,False,True,2.9042760562450196,21,48.06927451701628,3890.694,in_progress,0.0
782,18.0,3.868856134057211,-5.5498190838221255,46.06799254003766,-6.666666666666668,2.6666666666666665,4,2.5168110174066296,False,True,3.170843956118971,21,48.06927451701628,3890.77,in_progress,0.0
782,19.0,3.9627397564455373,-5.440037922063414,47.630886645215604,10.0,1.3333333333333333,18,1.5984696100842082,False,True,3.475452819750924,21,48.06927451701628,3890.83,in_progress,0.0
782,20.0,4.058926169564506,-5.330427037295066,48.180904550289874,6.666666666666668,2.6666666666666665,16,2.5956034304490325,False,True,3.7788215830764775,22,48.06927451701628,3890.893,in_progress,0.0
782,21.0,4.143619951193902,-5.215251631494788,50.947449010051166,10.0,1.3333333333333333,18,1.5690687537530614,False,True,4.080258963330641,22,48.06927451701628,3890.962,in_progress,0.0
782,22.0,4.207580128650399,-5.1066267481877405,55.02086952832493,-10.0,1.3333333333333333,0,1.5466951237975997,False,True,4.340480651848766,23,48.06927451701628,3891.027,in_progress,0.0
