Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
65,3.0,0.0,0.0,117.0,5.0,22.0,1785.0,0.0,28.173110883410136,0.0,0.0,449.9302272796631,,,,,,,,,,,,,,,,,,,,,8.277689545136385,9.81108271571807,28.047067801953236,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,138.0,6.0,21.0,1806.0,0.0,28.284271349195365,0.0,0.0,452.16652274131775,,,,,,,,,,,,,,,,,,,,,12.602914237671346,9.678112601879505,28.07573354155383,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,161.0,7.0,23.0,1829.0,0.0,20.692647877694583,0.0,0.0,454.74036931991577,,,,,,,,,,,,,,,,,,,,,5.629425716992315,7.382257147893329,20.60435920024505,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,183.0,8.0,22.0,1851.0,0.0,26.530056170420906,0.0,0.0,457.3575828075409,,,,,,,,,,,,,,,,,,,,,11.930683787996777,9.022190200455592,26.320195197284352,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,205.0,9.0,22.0,1873.0,0.0,32.59174077012423,0.0,0.0,459.75314950942993,,,,,,,,,,,,,,,,,,,,,14.312685393079967,11.447736695065347,32.341512374713524,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,228.0,10.0,23.0,1896.0,0.0,40.53374203186705,0.0,0.0,462.3362419605255,,,,,,,,,,,,,,,,,,,,,17.38526936701244,13.406698114439846,40.21426916047757,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,247.0,11.0,19.0,1915.0,0.0,20.140921702646413,0.0,0.0,464.51482224464417,,,,,,,,,,,,,,,,,,,,,6.138648876984785,6.954195971754439,20.064396101791175,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,266.0,12.0,19.0,1934.0,0.0,15.37308726147746,0.0,0.0,466.6839966773987,,,,,,,,,,,,,,,,,,,,,5.668593106033251,6.497144321708398,15.338934418528961,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,285.0,13.0,19.0,1953.0,0.0,23.666566589664644,0.0,0.0,468.781925201416,,,,,,,,,,,,,,,,,,,,,10.087467494770728,9.005441736057215,23.521925035409783,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,304.0,14.0,19.0,1972.0,0.0,29.023530523542334,0.0,0.0,471.03631138801575,,,,,,,,,,,,,,,,,,,,,14.64078182329654,9.506330229438023,28.830763494924753,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
